ME,BM,raw_return_percent
1,1,0.8746763668430335
1,2,0.984791622574956
1,3,1.2631767195767196
1,4,1.4363114638447971
1,5,1.5988592592592592
2,1,0.9571730158730158
2,2,1.2209956790123457
2,3,1.240926102292769
2,4,1.307557671957672
2,5,1.5133978835978836
3,1,1.030326984126984
3,2,1.199740652557319
3,3,1.2002770723104057
3,4,1.2841745149911816
3,5,1.370420634920635
4,1,1.0305372134038802
4,2,1.0548011463844797
4,3,1.1208113756613756
4,4,1.2243438271604938
4,5,1.2990365079365078
5,1,0.9444327160493827
5,2,0.9105437389770723
5,3,0.9841171957671958
5,4,0.9145831569664904
5,5,1.1989860670194004
